## Что я отметил как спорное

Явно спорными я пометил, в частности, такие случаи: `чирок → teal`, `личинка (под корой дерева) → larva (under tree bark)`, `клоп → bug; bedbug`, `овод → gadfly`, `чужой → someone else's; foreign`, `сам → self; oneself`, `рука → arm; hand`, `нога → leg; foot`, `кукиш → fig sign` . 

Там же я отдельно указал несколько **уже существовавших** переводов, которые я по вашему правилу не исправлял, но которые, на мой взгляд, стоит потом проверить вручную, например `черемуха`, `черная смородина`, `овёс`, `плотва`, `сиг`, `куропатка (белая)`. 


## Спорные случаи для проверки

| concept_id | concept_ru | Что уточнить |
|---|---|---|
| `220` | чирок | в контексте ВепКар, скорее всего, teal (мелкая речная утка), но точный вид не указан  [ru.wikipedia](https://ru.wikipedia.org/wiki/%D0%A7%D0%B8%D1%80%D0%BE%D0%BA) |
| `214` | куропатка (белая) | в словаре ВепКар правильнее всего *ptarmigan* (Lagopus), а не *partridge* как в исходном файле  |
| `246` | сёмга | отдельное слово от `245` лосось — оба это Salmo salar, но сёмга — конкретно атлантический подвид; я разграничил их |
| `368` / `377` | рука / нога | русские слова охватывают всю конечность целиком (рука = arm+hand, нога = leg+foot); в английском это два разных слова — сохранил оба варианта через точку с запятой |
| `372` | кукиш | *fig sign / fig gesture* — термин нейтральный, но в диалектном контексте может звучать иначе |


## Контекст ВепКар

По статьям видно, что словарь ВепКар тесно связан с корпусом текстов, автоматически и вручную размечается, а значения лемм используются в семантической разметке текстов, поэтому точность даже коротких англоязычных соответствий важна не только для словаря, но и для будущего поиска, разметки и связывания с другими ресурсами. Также в публикациях прямо сказано, что словарь ВепКар уже содержит русские и частично английские толкования и поддерживает поиск по лексико-семантическим категориям, что хорошо согласуется с вашей текущей задачей пакетного перевода концептов. 


Готово: все 200 строк заполнены — нет ни одного пустого поля ни в `concept_en`, ни в `definition_ru`, ни в `definition_en` .


