
## Ключевые замечания из notes-файла

### Культурно-специфические термины (нет прямого эквивалента)
| concept_id | concept_ru | Рекомендация |
|---|---|---|
| 609 | сканец | Оставить лексему «skanets» + пояснение; «flatbread» слишком обобщённо |
| 612 | загуста | Сохранить как «zagusta» с глоссом «thick flour porridge» |
| 634 | толокно | «Oat flour» неточно; лучше «tolokno» + глосс |
| 778 | соха | «Wooden plough» вводит в заблуждение (соха не переворачивает пласт); лучше «sokha» |
| 800 | рига | В финноугроведении принят термин «riga»; «threshing barn» как пояснение |

### Сельскохозяйственные термины с тонким различием
| concept_id | concept_ru | Примечание |
|---|---|---|
| 761 vs 764 | подсека vs пожог | Подсека — метод/участок до выжигания; пожог — результат после |
| 795 | перевясло | «Sheaf binder» может обозначать машину; лучше «straw band» или «straw withy» |
| 796 | суслон, бабка | Брит. «stook» / амер. «shock» — рекомендуется указать оба |
| 821 | прясло | Два значения: секция изгороди ИЛИ стойка для сушки сена; здесь — второе |

### Глаголы с широким значением
- **600 парить** — в категории B181 только кулинарное значение («to steam»), не баня и не полёт 
- **735 хаять** — диалектный просторечный глагол; «to disparage» точнее, чем нейтральное «to criticise» 
- **850 яловый** — два значения (корова без телёнка / кожа без дёгтя); здесь категория B331 подтверждает животноводческий смысл
