concept_id	concept_ru	category	note_ru	note_en
609	сканец	cultural term	Сканец — региональное название тонкой лепёшки, характерной для карельской и вепсской кухни. Английский эквивалент отсутствует; калька skanets / flatbread рекомендуется с пояснением.	"Skanets is a regional Karelian-Veps term for a very thin rye flatbread. No direct English equivalent exists; recommend keeping the loanword ""skanets"" alongside a descriptive gloss."
611	рыбник (пирог)	cultural term	Рыбник — карельский пирог с рыбной начинкой. Не следует смешивать с финским kalakukko (в котором рыба запечена внутри ржаного хлеба). Перевод fish pie корректен как родовое понятие.	"Ryybnik is a Karelian fish-filled pie. Should not be conflated with Finnish kalakukko (fish baked inside a rye loaf). ""Fish pie"" is an acceptable generic gloss."
612	каша из муки, загуста	cultural term	"Загуста — диалектное слово для густой мучной каши или клёцок. Рекомендуется глосс ""thick flour porridge (zagusta)"" с сохранением термина."	"Zagusta is a dialect term for a thick flour porridge or dumpling-like dish. Recommend keeping the term as a loanword: ""thick flour porridge (zagusta)""."
615	крошево	cultural term	"Крошево — нарубленные зелёные (наружные) листья капусты, используемые для приготовления серых щей. Не то же самое, что рубленая белокочанная капуста. Перевод ""chopped cabbage"" технически неточен без уточнения."	Kroshevo refers specifically to chopped green outer cabbage leaves used for grey shchi soup, distinct from regular shredded cabbage. The gloss should clarify this specificity.
634	толокно	cultural term	"Толокно — мука из предварительно пропаренного и поджаренного овса. Это не обычная овсяная мука (oat flour). Ближайший английский аналог — ""oatmeal"" (по технологии), однако правильнее сохранить термин ""tolokno"" с пояснением."	"Tolokno is flour made from pre-steamed and roasted oats, distinct from regular oat flour. The closest English analogue is ""oatmeal"", but it is better to keep the loanword ""tolokno"" with a gloss."
640	кисель	cultural term	Кисель — традиционный русский/карельский напиток-десерт на крахмале и ягодах. Не путать с западным kissel. Рекомендуется сохранить транслитерацию kissel с кратким пояснением.	"Kissel is a traditional starch-thickened sweet or sour beverage-dessert, not the same as Western jelly. Recommend keeping ""kissel"" as a loanword with a brief gloss."
641	квас	cultural term	"Квас — традиционный кисломолочный хлебный напиток. Лучший перевод — ""kvas"" или ""kvass"" (устоявшийся транслитерированный термин в английских источниках)."	"Kvas is a traditional fermented bread drink. The established loanword ""kvas"" or ""kvass"" is preferred in English-language sources."
628	пивная гуща, барда	ambiguous	"Барда может обозначать как гущу после брожения пива, так и барду от перегонки. Перевод ""beer sediment / draff"" корректен в пивоваренном контексте."	"Barda may refer both to beer fermentation lees and to distillery waste. The gloss ""beer sediment / draff"" is appropriate in a brewing context."
626	раствор для киселя или блинов	ambiguous	"Понятие охватывает два разных продукта: заварное тесто для блинов и крахмальный раствор для киселя. Глосс ""starter / batter"" является обобщением; при необходимости рекомендуется уточнить контекст использования."	"The concept covers two different preparations: a fermented batter for pancakes and a starch solution for kissel. The gloss ""starter / batter"" is a generalisation; context-specific clarification may be needed."
761	подсека	agricultural term	"Подсека (подсечно-огневое земледелие) — специфическая система земледелия. Устоявшийся английский термин — ""slash-and-burn plot"" или ""swidden"". Рекомендуется использовать ""swidden"" как академически признанный термин."	"Podseka refers to a slash-and-burn agricultural plot. The established academic English term is ""swidden"" (swidden agriculture). Recommend using ""swidden"" or ""slash-and-burn plot""."
764	пожог, выженное место	agricultural term	"Пожог — участок, оставшийся после выжигания леса. Близкий термин — ""burnt clearing"" или ""swiddenfield"". Это понятие отличается от подсеки (761): подсека — это сам метод/участок до выжигания, пожог — после."	"Pozhjog is the burnt area remaining after fire-clearing. It is distinct from podseka (concept 761): podseka is the method/plot before burning, pozhjog is the result afterwards. ""Burnt clearing"" or ""fire-cleared plot"" are appropriate glosses."
773	подсека заросшая	agricultural term	"Заросшая подсека — бывшее поле подсечно-огневого земледелия, поросшее молодым лесом. Нет устоявшегося английского термина; ""overgrown swidden"" или ""abandoned slash-and-burn plot"" передают смысл."	"An overgrown swidden is a former slash-and-burn field that has regrown with young forest. No established English term; ""overgrown swidden"" or ""abandoned slash-and-burn plot"" convey the meaning."
795	перевясло	agricultural term	"Перевясло — жгут из соломы, которым перевязывают сноп. Английский термин ""straw band"" или ""withy"" (для соломенного жгута). ""Sheaf binder"" менее точен, так как это может обозначать и машину."	"Perevyaslo is a twisted straw band used to bind a sheaf. ""Straw band"" or ""straw withy"" are more precise than ""sheaf binder"", which can also denote a machine."
796	суслон, бабка	agricultural term	"Суслон (бабка) — группа снопов, поставленных вертикально конусом для просушки. Английский термин ""stook"" (British English) или ""shock"" (American English). Рекомендуется указать оба."	"Suslon is a group of sheaves set up in a field to dry. The British English term is ""stook"", the American English equivalent is ""shock"". Recommend noting both."
797	зарод	agricultural term	"Зарод — продолговатый стог, характерный для Русского Севера. Буквальный перевод ""zarod"" не имеет устоявшегося английского эквивалента; ""oblong haystack"" или ""long rick"" передают форму."	"Zarod is an elongated stack of hay or straw, characteristic of the Russian North. No established English equivalent; ""oblong haystack"" or ""long rick"" describe the shape."
