id,meaning_id,example
1,491,"Когда он подскочил, заяц тоже вскочил."
2,491,"Он вокруг куста [бегает], заяц-то, Михаил за зайцем, потом еще собака кинулась."
3,491,"До тех пор бежал от них этот заяц, пока не убежал."
4,26219,"Когда подошли близко к дому, заметили – что-то белеет в кустах."
5,26588,"Однажды мы с братом пошли вдвоем на охоту."
6,6,"Вот сидят-посиживают."
7,6,"Ну вот, сидят."
8,12791,"Тычет дряхлого старика в бок, говорит: «Дядя Ваня, кто-то шуршит»."
9,26588,"Пошли охотники вдвоем на охоту."
10,120,"Я оказался по грудь в воде."
11,26588,"Однажды [мы] с товарищами вчетвером пошли рыбу ловить."
12,26588,"Взял первый раз дубинкой ударил, а товарищи вдвоем за нос лодки вытянули нас на берег."
13,1,"Ну, и потом этому народу, кто был тут, хозяева платят, дают им деньги, когда принесут медведя домой."
14,421,"Ну, и потом этому народу, кто был тут, хозяева платят, дают им деньги, когда принесут медведя домой."
15,426,"Все это место окружают, ставят народ вокруг медведя и оставляют выход ('дверь'), где прячутся охотники с ружьями и ждут, когда медведь пойдет на них."
16,1257,"Сначала созовут народу человек тридцать."
17,1907,"Все это место окружают, ставят народ вокруг медведя и оставляют выход ('дверь'), где прячутся охотники с ружьями и ждут, когда медведь пойдет на них."
18,1907,"Когда придут к воротам, к охотникам, охотники возьмут и застрелят этого медведя."
19,25787,"Эти охотники идут и тычут в берлогу рогатиной."
20,37193,"Все это место окружают, ставят народ вокруг медведя и оставляют выход ('дверь'), где прячутся охотники с ружьями и ждут, когда медведь пойдет на них."
21,6,"Сидят и ждут, когда придут волки."
22,932,"Сидят и ждут, когда придут волки."
23,26588,"Когда они начнут ходить, тогда охотники вдвоем идут в эту избушку и садятся."
24,30645,"Я расскажу, как ловят волков на мясо."
25,6,"Вот то место, где сидят волки, окружают, оставляют ворота, где остаются двое охотников, а двое начинают окружать."
26,1907,"Эти следы охотники [берут] и окружают."
27,2402,"А когда волк подойдет к воротам, где никого нет, стреляют и убивают."
28,26588,"Соберутся впятером или вчетвером."
